DATA ORDER,ALGORITHM,TIME(s), COMPARISION,TIME(s), COMPARISION,TIME(s), COMPARISION,TIME(s), COMPARISION,TIME(s), COMPARISION,TIME(s), COMPARISION,
Reversed,Selection sort,0.000000,100009999,0.000000,900029999,0.000000,2500049999,0.000000,10000099999,0.000000,90000299999,0.000000,250000499999,
Reversed,Insertion sort,0.000000,100019998,0.000000,900059998,0.000000,2500099998,0.000000,10000199998,0.000000,90000599998,0.000000,250000999998,
Reversed,Bubble sort,0.000000,100009999,0.000000,900029999,0.000000,2500049999,0.000000,10000099999,0.000000,90000299999,0.000000,250000499999,
Reversed,Shaker sort,0.000000,100000000,0.000000,900000000,0.000000,2500000000,0.000000,10000000000,0.000000,90000000000,0.000000,250000000000,
Reversed,Shell sort,0.000000,485162,0.000000,1584034,0.000000,2894609,0.000000,6189171,0.000000,20301821,0.000000,34357562,
Reversed,Heap sort,0.000000,623481,0.000000,2116061,0.000000,3694461,0.000000,7887171,0.000000,26081231,0.000000,45342251,
Reversed,Merge sort,0.000000,476441,0.000000,1573465,0.000000,2733945,0.000000,5767897,0.000000,18708313,0.000000,32336409,
Reversed,Quick sort,0.000000,170880,0.000000,548322,0.000000,996628,0.000000,2093238,0.000000,6527178,0.000000,11072890,
Reversed,Counting sort,0.000000,70002,0.000000,210002,0.000000,350002,0.000000,700002,0.000000,2100002,0.000000,3500002,
Reversed,Radix sort,0.000000,140056,0.000000,510070,0.000000,850070,0.000000,1700070,0.000000,6000084,0.000000,10000084,
Reversed,Flash sort,0.000000,108600,0.000000,325800,0.000000,543000,0.000000,1086000,0.000000,3258000,0.000000,5430000,

